Plot,TreeID,Tag,Species,X,Y,DBH_89,DBH_04,DBH_18,Dia_89_04,Dia_04_18,Dia_dif,NDI_89_live,NDI_89_consp,NDI_89_mort,NDI_89_propconsp,NDI_89_propmort,NDI_04_live,NDI_04_consp,NDI_04_mort,NDI_04_propconsp,NDI_04_propmort,Slope,TPI
B2,FRB2000100394,405,PICO,425708.012,4417813.285,30.7,30.5,NA,-0.013333333,NA,NA,1.039036029,0.99372598,0.143199042,0.956392226,0.13781913,NA,NA,NA,NA,NA,6.824647903,0.020586369
B2,FRB2000100395,406,PICO,425708.274,4417817.36,21.6,22.2,NA,0.04,NA,NA,0.844280241,0.802573832,0.142313494,0.950601225,0.168561914,NA,NA,NA,NA,NA,9.020348549,-0.153276413
B2,FRB2000100397,408,PICO,425710.387,4417815.801,11.1,11.4,13.2,0.02,0.128571429,0.108571429,0.926786688,0.836497312,0.165004761,0.90257804,0.178039633,0.881680362,0.765140513,0.708464508,0.86782075,0.803538945,11.02167702,-0.134087114
B2,FRB2000100398,409,PICO,425711.393,4417811.518,32.6,33.3,NA,0.046666667,NA,NA,0.792396819,0.709384456,0.139585289,0.895238899,0.176155792,NA,NA,NA,NA,NA,10.91222,-0.114096079
B2,FRB2000100399,410,PICO,425713.495,4417812.449,39.6,40.2,NA,0.04,NA,NA,0.811509751,0.705233326,0.257575895,0.869038635,0.317403328,NA,NA,NA,NA,NA,11.22283268,-0.017335525
B2,FRB2000100402,414,PICO,425722.587,4417806.689,37.5,37.7,NA,0.013333333,NA,NA,0.879316207,0.815195672,0.256422277,0.927079094,0.291615547,NA,NA,NA,NA,NA,9.692102432,0.051701591
B2,FRB2000100404,416,PICO,425723.363,4417815.268,30,30.5,NA,0.033333333,NA,NA,1.011556969,0.992514927,0.235980215,0.981175512,0.233284157,NA,NA,NA,NA,NA,9.481747627,-0.071866682
B2,FRB2000100407,419,PICO,425724.829,4417807.468,11.3,12,15.8,0.046666667,0.271428571,0.224761905,1.078951601,1.028023491,0.217694307,0.952798523,0.201764663,0.964575663,0.887196924,0.814803394,0.919779504,0.844727299,9.986190796,0.036823646
B2,FRB2000100408,420,PICO,425726.564,4417807.133,35.4,35.7,NA,0.02,NA,NA,0.964924885,0.919689024,0.213616844,0.953119812,0.221381837,NA,NA,NA,NA,NA,9.505927086,0.062436077
B2,FRB2000100410,422,PICO,425729.132,4417808.387,23.8,24,NA,0.013333333,NA,NA,0.960178293,0.960178293,0.148062028,1,0.154202641,NA,NA,NA,NA,NA,10.00221348,-0.016653933
B2,FRB2000100411,423,PICO,425727.215,4417813.589,29.7,30.1,NA,0.026666667,NA,NA,1.258663287,1.243059985,0.192867552,0.987603275,0.153232047,NA,NA,NA,NA,NA,8.820301056,-0.035580608
B2,FRB2000100412,424,PICO,425726.805,4417814.873,28.8,29.2,NA,0.026666667,NA,NA,1.277952848,1.277952848,0.16610946,1,0.129980899,NA,NA,NA,NA,NA,9.540346146,0.013471633
B2,FRB2000100414,426,PICO,425724.99,4417817.499,29.9,30.4,NA,0.033333333,NA,NA,1.01175156,1.01175156,0.121741774,1,0.120327735,NA,NA,NA,NA,NA,7.976201534,0.095107792
B2,FRB2000100415,427,PICO,425727.647,4417819.867,29.7,30.5,NA,0.053333333,NA,NA,1.255107032,1.233036669,0.090629823,0.982415553,0.07220884,NA,NA,NA,NA,NA,12.56462002,0.073278385
B2,FRB2000100416,428,PICO,425729.998,4417818.526,23.5,23.8,24.2,0.02,0.028571429,0.008571429,1.329192541,1.306555063,0.059119802,0.982969,0.044477982,1.339589555,1.300710135,1.102798172,0.970976617,0.82323587,10.20967102,0.155937315
B2,FRB2000100417,429,PICO,425729.891,4417817.202,18.4,18.4,NA,0,NA,NA,1.585770011,1.566122739,0.100436624,0.987610264,0.063336186,NA,NA,NA,NA,NA,10.86126328,0.109356516
B2,FRB2000100418,430,PICO,425730.378,4417816.572,29.8,30.1,NA,0.02,NA,NA,1.452300228,1.433491622,0.132793323,0.987049092,0.09143655,NA,NA,NA,NA,NA,10.57927036,0.07402544
B2,FRB2000100419,431,PICO,425729.545,4417813.101,38,38.3,NA,0.02,NA,NA,1.137227655,1.137227655,0.158513218,1,0.139385651,NA,NA,NA,NA,NA,9.673762321,0.027280597
B2,FRB2000100420,432,PICO,425733.984,4417813.192,32.4,33,NA,0.04,NA,NA,0.92203812,0.92203812,0.116198383,1,0.126023405,NA,NA,NA,NA,NA,8.742371559,-0.021052315
B2,FRB2000100423,435,PICO,425738,4417809.876,40.2,40.9,NA,0.046666667,NA,NA,0.876451346,0.876451346,0.223257556,1,0.254728978,NA,NA,NA,NA,NA,6.70136404,0.059449397
B2,FRB2000100424,436,PICO,425739.275,4417812.143,27.4,28.4,NA,0.066666667,NA,NA,1.021950349,1.021950349,0.166713666,1,0.163132844,NA,NA,NA,NA,NA,8.516956329,0.085402239
B2,FRB2000100425,437,PICO,425735.182,4417819.182,22.1,22.3,23.1,0.013333333,0.057142857,0.043809524,1.346593212,1.309466663,0.054560161,0.972429276,0.040517181,1.360695679,1.292351293,0.768554368,0.949772468,0.564824582,7.131997108,0.036088913
B2,FRB2000100426,438,PICO,425734.398,4417819.691,14.4,14.4,14.6,0,0.014285714,0.014285714,1.435980142,1.406754519,0.04093772,0.979647613,0.028508556,1.462851855,1.408007973,0.732409605,0.962508929,0.500672438,8.326497078,0.039500721
B2,FRB2000100427,439,PICO,425734.751,4417821.057,22.5,23.7,25.9,0.08,0.157142857,0.077142857,1.489126233,1.441803089,0.041802086,0.968220864,0.028071553,1.513245303,1.439899087,0.742662384,0.951530518,0.490774617,9.0577631,0.135832296
B2,FRB2000100430,442,PICO,425739.511,4417818.888,34.2,35.1,NA,0.06,NA,NA,1.205103604,1.168807467,0.147036131,0.969881314,0.122011195,NA,NA,NA,NA,NA,8.745992661,0.041792716
