Plot,X,Y,grow_BA_89_04,grow_BA_04_18,grow_BA_dif,ingrow_stems_89_04,ingrow_stems_04_18,ingrow_stems_dif,live_BA_89,live_BA_04,live_stems_89,live_stems_04,live_BA_LS_89,live_BA_LS_04,surv_BA_89,surv_BA_04,surv_stems_89,surv_stems_04,surv_BA_LS_89,surv_BA_LS_04,mort_BA_89_04,mort_BA_04_18,live_BA_LS_89_prop,live_BA_LS_04_prop,surv_BA_LS_89_prop,surv_BA_LS_04_prop,mort_BA_89_04_prop,mort_BA_04_18_prop,Slope,TPI
C3,426556.193,4417470.438,0.074110171,0.091128627,0.017018456,0,0,0,50.22189286,16.26410371,8,4,0,0,15.15245115,2.747715475,4,2,0,0,35.06944171,13.51638823,0,0,0,0,0.698289923,0.831056447,1.736391664,0.283820023
C3,426566.193,4417470.438,0.107798516,0.406836249,0.299037733,1,2,1,43.16776071,30.0457209,6,6,8.857092168,11.71986847,27.12176208,16.02039466,5,4,8.857092168,11.71986847,16.04599864,14.02532624,0.205178402,0.390067807,0.326567726,0.731559286,0.371712555,0.466799458,5.503669739,0.351093473
C3,426576.193,4417470.438,0.334501078,0.588313714,0.253812636,4,2,-2,50.43041607,46.4656476,7,10,17.15717996,24.80161736,37.5479227,5.212137832,6,4,17.15717996,5.212137832,12.88249338,41.25350977,0.34021492,0.533762438,0.456940857,1,0.255450864,0.887828146,3.17030549,-0.207511059
C3,426586.193,4417470.438,0.038835321,0.267018546,0.228183224,2,2,0,24.92303992,18.34242433,4,4,0,1.246898124,15.74322765,3.65218,2,2,0,1.246898124,9.179812274,14.69024433,0,0.067978916,0,0.341412013,0.368326348,0.800888916,9.270950317,-0.109539814
C3,426596.193,4417470.438,0.215947843,0.189746586,-0.026201257,2,4,2,26.27141149,31.29324734,6,8,0.738981132,3.388678916,26.27141149,2.615847123,6,3,0.738981132,1.782618211,0,28.67740022,0.028128718,0.108287864,0.028128718,0.681468804,0,0.916408575,5.515406609,0.059135942
C3,426606.193,4417470.438,0.282146436,0.270367708,-0.011778728,1,1,0,32.76531912,23.68297476,7,6,5.207582522,8.354201724,18.8146057,15.12998876,5,5,5.207582522,8.354201724,13.95071342,8.552985999,0.15893581,0.352751367,0.276784037,0.552161793,0.425776821,0.361144919,11.33290386,-0.0078125
C3,426616.193,4417470.438,0.504576432,0.47887409,-0.025702342,3,1,-2,38.43864275,48.67238082,8,11,4.093023989,9.280421778,38.43864275,10.37024027,8,6,4.093023989,7.674361074,0,38.30214055,0.106482011,0.190671211,0.106482011,0.740036959,0,0.786937888,9.80811882,-0.367945337
C3,426496.193,4417460.438,0.055124479,0.200113842,0.144989363,1,3,2,14.01401651,15.47705621,2,3,0,0.636172512,14.01401651,0.636172512,2,1,0,0.636172512,0,14.8408837,0,0.041104232,0,1,0,0.958895768,27.13058662,-0.0042921
C3,426506.193,4417460.438,0.172478673,0.204613052,0.032134379,0,4,4,29.61170987,30.00849303,7,6,0,0,27.42131294,1.020703453,6,1,0,0,2.190396938,28.98778957,0,0,0,0,0.073970633,0.965986181,9.987360954,-0.025935898
C3,426516.193,4417460.438,0.094666659,0,-0.094666659,0,0,0,19.08910236,20.50910224,2,2,0,0,19.08910236,0,2,0,0,0,0,20.50910224,0,0,0,NA,0,1,12.55469894,-0.054051348
C3,426526.193,4417460.438,0.230383461,0.349159974,0.118776512,0,5,5,53.05003311,56.50578502,9,9,0.865901475,1.22718463,53.05003311,2.177516408,9,2,0.865901475,1.22718463,0,54.32826862,0.016322355,0.021717858,0.016322355,0.563570784,0,0.961463832,9.195814133,0.070039093
C3,426536.193,4417460.438,0.111034356,0.107464909,-0.003569448,0,1,1,50.10950238,18.78318978,8,5,0,0,17.11767443,3.896595908,5,2,0,0,32.99182795,14.88659387,0,0,0,0,0.658394643,0.792548765,6.655674934,-0.105139122
C3,426546.193,4417460.438,0.091425582,0.569632458,0.478206876,3,2,-1,57.96741101,14.90811378,7,6,1.960667975,4.298091449,11.14079441,6.198912084,3,5,1.960667975,4.298091449,46.8266166,8.709201694,0.033823625,0.288305517,0.175989961,0.693362221,0.80780935,0.58419206,12.25700188,-0.213860256
C3,426556.193,4417460.438,0.318300932,0.751323103,0.433022171,0,4,4,90.09789279,32.83985341,11,6,15.45003851,12.06999898,28.06533943,13.88458289,6,3,9.025795694,12.06999898,62.03255336,18.95527051,0.171480576,0.367541195,0.321599378,0.86930944,0.688501711,0.577203262,7.499572754,0.326410625
C3,426566.193,4417460.438,0.374090381,0.389462119,0.015371738,0,0,0,45.75376271,40.20233287,10,9,2.61301969,4.585547177,34.59097715,4.585547177,9,3,2.61301969,4.585547177,11.16278556,35.61678569,0.057110487,0.114061719,0.075540499,1,0.243975247,0.885938281,8.567390442,-0.198846763
C3,426576.193,4417460.438,0.345402404,0.289256534,-0.056145871,0,6,6,31.18124956,39.02824115,11,10,6.706279298,11.66881759,30.24811801,8.174581164,10,4,5.77314774,6.635200764,0.933131558,30.85365999,0.215074104,0.298983947,0.190859733,0.811686939,0.029926048,0.790547026,6.344054699,-0.149326264
C3,426586.193,4417460.438,0.190155367,0.299921119,0.109765751,3,3,0,57.07142878,46.17183015,8,9,3.756245256,7.798218364,41.01003634,4.300526183,6,1,3.756245256,4.300526183,16.06139244,41.87130397,0.065816562,0.168895587,0.091593317,1,0.281426149,0.906858226,7.82383585,-0.174780042
C3,426596.193,4417460.438,0.231718638,0.268853011,0.037134373,1,1,0,33.1576255,37.31269595,5,6,5.157631199,7.980116579,33.1576255,9.81865514,5,4,5.157631199,7.980116579,0,27.49404081,0.155548871,0.213871348,0.155548871,0.81275047,0,0.736854845,6.133985519,-0.018032519
C3,426606.193,4417460.438,0.176887374,0.242979752,0.066092377,2,2,0,13.59987606,18.01153608,5,7,0.882473376,1.814583917,13.59987606,4.859729676,5,4,0.882473376,1.814583917,0,13.15180641,0.06488834,0.10074565,0.06488834,0.373391945,0,0.730187939,11.67877388,-0.23061508
C3,426616.193,4417460.438,0.266255213,0.451441254,0.185186041,2,2,0,57.062004,43.242295,8,8,0.933131558,1.960667975,37.61169703,9.222537934,6,4,0.933131558,1.960667975,19.45030698,34.01975707,0.016352941,0.045341441,0.024809611,0.212595274,0.340862669,0.786724134,1.389931679,0.24961261
C3,426496.193,4417450.438,0.25065197,0.186655484,-0.063996486,0,1,1,44.40005043,48.15982998,7,7,7.068583471,8.143322317,44.40005043,12.3053828,7,3,7.068583471,8.143322317,0,35.85444718,0.15920215,0.169089515,0.15920215,0.661769117,0,0.744488658,8.734045029,-0.018962102
C3,426506.193,4417450.438,0.291906317,0.307365571,0.015459254,1,0,-1,37.06977229,42.41605613,10,11,0,0.967689077,37.06977229,9.421322209,10,6,0,0.967689077,0,32.99473392,0,0.022814216,0,0.102712661,0,0.777883116,11.06939793,-0.242178258
C3,426516.193,4417450.438,0.346727109,0.26498773,-0.081739379,1,3,2,25.0782346,29.6875008,8,8,0,0.882473376,25.0782346,3.182433358,8,3,0,0.882473376,0,26.50506744,0,0.029725418,0,0.277295163,0,0.892802248,13.65390396,-0.028783178
C3,426526.193,4417450.438,0.176269528,0.595500107,0.41923058,1,1,0,20.85546283,17.82225512,4,4,1.266768698,3.777765166,20.85546283,3.777765166,4,2,1.266768698,3.777765166,0,14.04448996,0.060740378,0.211968976,0.060740378,1,0,0.788031024,10.79745293,0.075465639
C3,426536.193,4417450.438,0.200433611,0.339381766,0.138948155,0,2,2,36.15800357,10.83574576,5,2,2.06119894,4.047078196,7.829241592,4.047078196,2,1,2.06119894,4.047078196,28.32876198,6.788667565,0.05700533,0.373493277,0.263269298,1,0.783471408,0.626506723,5.574668407,0.031398641
C3,426546.193,4417450.438,0.129444089,0.032380844,-0.097063245,1,0,-1,24.79250674,22.46120938,6,6,0,0,19.76525164,0.754296396,5,1,0,0,5.027255104,21.70691298,0,0,0,0,0.202773167,0.966417819,7.799606323,0.046496852
C3,426556.193,4417450.438,0.150529412,0.274507878,0.123978466,0,2,2,68.39239353,47.66322272,9,8,0,0,45.40528154,3.541360319,8,3,0,0,22.98711199,44.1218624,0,0,0,0,0.336106266,0.925700359,10.44712162,-0.013168191
C3,426566.193,4417450.438,0.316829619,0.579006746,0.262177127,4,3,-1,63.26397914,29.03051523,9,9,15.01948324,21.64769396,20.95253804,22.89741952,5,6,15.01948324,20.38092526,42.3114411,6.133095718,0.237409715,0.745687556,0.716833598,0.890097037,0.668807775,0.211263757,11.20347404,-0.025922805
C3,426576.193,4417450.438,0.237342089,0.465303532,0.227961443,5,5,0,42.14980616,26.17920574,9,10,12.69643255,9.998432779,20.69610554,7.603753779,6,5,2.823899096,7.603753779,21.45370061,18.57545196,0.301221612,0.381922694,0.136445917,1,0.508986934,0.709549867,7.390507698,-0.486750943
C3,426586.193,4417450.438,0.447708369,0.551063401,0.103355032,0,5,5,40.798293,33.09204476,11,9,18.85670304,22.79987306,26.37641922,22.79987306,9,8,16.19765902,22.79987306,14.42187378,10.29217169,0.462193432,0.688983507,0.614096208,1,0.353492088,0.311016493,8.785411835,-0.101918314
C3,426596.193,4417450.438,0.208502268,0.325659738,0.11715747,1,1,0,35.5380888,14.42674324,6,4,14.68953747,5.024270591,9.992228134,14.42674324,3,4,2.248516402,5.024270591,25.54586066,0,0.413346299,0.3482609,0.225026528,0.3482609,0.718830458,0,6.821492672,0.212696545
C3,426606.193,4417450.438,0.075801395,0.30783681,0.232035415,3,4,1,39.13026438,20.39734008,5,6,0,2.172097161,17.088222,3.037998636,3,4,0,2.172097161,22.04204238,17.35934145,0,0.106489236,0,0.714976345,0.563299092,0.851059078,5.955452919,-0.064778903
C3,426616.193,4417450.438,0.103840109,0.268370552,0.164530443,1,2,1,23.44177898,7.060886569,4,3,0.738981132,3.294038437,4.071896778,7.060886569,2,3,0.738981132,3.294038437,19.3698822,0,0.031524106,0.466519099,0.181483267,0.466519099,0.82629745,0,8.379048347,0.02806693
C3,426496.193,4417440.438,0.21967063,0.150414968,-0.069255662,0,3,3,20.52865866,23.82371811,5,5,0,0,20.52865866,8.532330028,5,3,0,0,0,15.29138808,0,0,0,0,0,0.64185565,9.054613113,0.022082019
C3,426506.193,4417440.438,0.161498806,0.168254727,0.00675592,0,4,4,41.99304068,44.41552278,7,7,0,0,41.99304068,0,7,0,0,0,0,44.41552278,0,0,0,NA,0,1,11.50055122,-0.003049062
C3,426516.193,4417440.438,0.141151758,0.424810647,0.283658889,3,5,2,47.52192959,44.83712451,7,8,0,0,36.88575351,20.71903917,6,5,0,0,10.63617609,24.11808534,0,0,0,0,0.223816166,0.537904373,11.47768593,-0.017630496
C3,426526.193,4417440.438,0.204439142,0.045710173,-0.158728969,0,3,3,44.78630925,43.69814009,6,5,0,0,40.63155297,0,5,0,0,0,4.154756284,43.69814009,0,0,0,NA,0.092768445,1,9.016005516,-0.00892153
C3,426536.193,4417440.438,0.399013683,0.630068847,0.231055164,2,3,1,52.9506017,52.60133514,13,14,1.862650284,3.992335944,45.25613443,13.86958179,12,7,1.862650284,3.992335944,7.694467267,38.73175335,0.035177132,0.075897996,0.041157963,0.287848329,0.145314067,0.736326431,3.675806522,0.007614569
C3,426546.193,4417440.438,0.24648936,0.557795386,0.311306026,0,0,0,50.72305543,37.77584524,10,8,22.41290739,7.411959548,34.07850485,12.74787613,8,5,5.768356811,7.411959548,16.64455058,25.02796911,0.441868243,0.196208966,0.169266722,0.581427014,0.328145662,0.662538957,7.105341434,-0.112809912
C3,426556.193,4417440.438,0.26496716,0.288123316,0.023156156,0,4,4,86.29695838,90.27146579,9,9,0,0,86.29695838,3.268512997,9,1,0,0,0,87.00295279,0,0,0,0,0,0.963792401,7.24358511,0.00410033
